Protocol,Packet_Count,Total_Bytes,Avg_PIAT,Label
89,182,102648,11.065265750358117,0
89,183,103212,11.046044119111784,0
89,182,102648,11.053364579848822,0
17,3,225,2502.9330253601074,0
89,181,102084,11.117805374993218,0
89,182,102648,11.064906146644887,0
17,2,134,5000.557899475098,0
89,182,102648,11.063723274357411,0
89,183,103212,11.04826848585527,0
89,2,152,9999.922037124634,0
89,181,102084,11.162822776370579,0
17,2,146,5005.41090965271,0
17,2,158,5005.508899688721,0
17,2,146,5005.959033966064,0
17,2,134,5005.314111709595,0
89,2,152,10000.609159469604,0
17,2,146,5005.651950836182,0
17,2,158,5005.511999130249,0
17,2,146,5004.870176315308,0
17,2,134,5005.338907241821,0
89,2,152,10000.802993774414,0
17,2,146,5005.682945251465,0
17,2,158,5005.469083786011,0
17,5,990,503.8800239562988,0
17,2,146,5005.96284866333,0
17,2,134,5005.201101303101,0
89,2,152,10000.739097595215,0
17,2,146,5005.675792694092,0
17,2,158,5005.57017326355,0
17,2,146,5005.84602355957,0
17,2,134,5005.2490234375,0
89,2,152,9985.01205444336,0
17,2,146,5005.72395324707,0
17,2,158,5005.450010299683,0
17,2,146,5005.840063095093,0
17,2,134,5005.423069000244,0
89,2,152,10000.858068466187,0
17,2,146,5005.577087402344,0
17,2,158,5005.563020706177,0
17,2,146,5005.592107772827,0
17,2,134,5005.155086517334,0
89,2,152,9985.511064529419,0
17,2,146,5009.38606262207,0
17,2,158,5005.228042602539,0
17,2,146,5005.512952804565,0
17,2,134,5005.187034606934,0
89,2,152,9985.244989395142,0
17,2,146,5005.13482093811,0
17,2,158,5005.572080612183,0
17,2,146,5005.853891372681,0
17,2,134,5005.3369998931885,0
89,2,152,9968.847036361694,0
17,2,146,5005.92303276062,0
17,2,158,5005.234956741333,0
17,4,792,39331.308682759605,0
17,4,792,671.7882951100668,0
17,2,146,5005.9099197387695,0
17,2,134,5005.259990692139,0
89,2,152,10000.813007354736,0
17,2,146,5005.645036697388,0
17,17,1139,410.18156707286835,0
17,2,158,5005.537033081055,0
17,2,146,5005.818843841553,0
17,2,134,5005.376100540161,0
89,2,152,10000.73790550232,0
17,2,146,5005.7361125946045,0
17,2,158,5005.48791885376,0
17,2,146,5005.89394569397,0
17,2,134,5005.252838134766,0
89,2,152,10016.366004943848,0
17,2,146,5005.694150924683,0
17,2,158,5005.55682182312,0
17,2,146,5005.983114242554,0
17,2,134,5005.158185958862,0
89,2,152,9985.211849212646,0
17,2,146,5005.141973495483,0
17,2,158,5005.512952804565,0
17,2,146,5005.840063095093,0
17,2,134,5005.359172821045,0
89,2,152,10000.715970993042,0
17,2,146,5005.130052566528,0
17,2,158,5005.548000335693,0
17,2,146,5005.4919719696045,0
17,2,134,5003.226041793823,0
89,2,152,9985.172986984253,0
89,83,46812,3399.360973660539,0
17,2,146,5004.608869552612,0
89,180,101520,11.221748490573308,0
89,183,103212,11.029159629737938,0
89,182,102648,11.05751385346302,0
17,2,158,5004.002094268799,0
17,4,792,39331.65431022644,0
89,182,102648,11.058923289262129,0
17,4,792,671.5003649393717,0
89,182,102648,11.065712291232789,0
17,2,146,5001.827001571655,0
89,182,102648,11.063491441926903,0
89,180,101520,11.188971929710005,0
89,183,103212,11.049752707009787,0
17,2,134,5005.318880081177,0
89,180,101520,11.203855109614366,0
89,2,152,9997.38597869873,0
89,182,102648,11.05093297378793,0
17,2,146,5005.0928592681885,0
89,183,103212,11.034483438009744,0
89,183,103212,11.037313021146334,0
89,183,103212,11.043302305452116,0
17,2,158,5005.5999755859375,0
89,182,102648,11.069717986807639,0
89,182,102648,11.10486167570504,0
17,2,146,5005.320072174072,0
89,182,102648,11.05719903556023,0
89,182,102648,11.104060800036015,0
89,181,102084,11.128849453396267,0
17,2,134,5005.324125289917,0
89,182,102648,11.074652329334238,0
89,2,152,10011.811017990112,0
